,teks,label,clean_teks
0,"iya siap pak, masih masih di situ Pak surat penugasan ada Pak kalau mengisi berita acara sebenarnya saya belum ini mengisi secara langsung Pak cuma saya bagian yang di ininya ya Pak yang meriksa aja dokumen penting apa aja di situ, di berita acara dokumen-dokumen penting itu ya yang di BA yang di BA itu yang pertama surat izin masuk lokasi terus yang pelanggarannya apa saja nanti yang ditemukan pelanggarannya iya hasil temuan yang hasil pemeriksaannya selama di ini ke pelanggannya Pak kita minta datangannya ke pelanggannya setelah selesai semua kita minta pelanggannya untuk datang ke kantor untuk menyelesaikan ini dengan membawa berita acaranya kemudian kita juga menyerahkan ke bagian administrasinya Pak BA-nya dan barang buktinya jika ada temuan yang ditemukan di lapangan segel rusak tergantung di posisi yang diperiksa Pak misalnya segel rusaknya di MCB, dia lebih ke B1 Pak Yang level 2 itu Pelaksana lapangan kita cari dulu ini ya Kalau untuk berapa kalinya mungkin tidak hitung Pak Lebih dari 5 kali Yang pertama surat izin masuk lokasi Pak Terus, apa namanya? Hasil ketemuan yang ditemukan di lapangan Bagiannya saya di pemeriksaan aja Pak Soalnya ada teman yang khusus buat ngisi berita acara Menurut saya yang terpenting yang hasil temuannya apa saja ya Saya SMA Pak, penerimaan SMA Untuk yang terbaru belum tahu Belum tahu Pak Kalau karena alam, tergantung di posisinya Pak Kalau yang seperti itu saya belum pernah menemukan Nggak tahu itu jenisnya Pak ",0,situ surat tugas isi berita acara belum isi langsung ini meriksa dokumen situ berita acara dokumendokumen ba ba surat izin masuk lokasi langgar temu langgar hasil temu hasil periksa langgan datang langgan selesai langgan kantor selesai bawa berita acara serah administrasi banya barang bukti temu temu lapang segel rusak gantung posisi periksa segel rusak mcb b1 level 2 laksana lapang cari kali tidak hitung 5 kali surat izin masuk lokasi nama hasil ketemu temu lapang bagi periksa teman khusus isi berita acara penting hasil temu sma terima sma baru belum belum alam gantung posisi belum temu tidak jenis
1,"siap, siap Pak, hari ini saya lengkapi foto belum ada ya betul, betul ya betul Pak, sampai di kancing kedua 028 028 ya terakhir di 2023 2023 sekitar bulan terakhir itu di Juni Pak Juni 2023 itu disitu diisi ada data pelanggan data pelanggan kemudian penghuni, kemudian tarif daya, kemudian alamat terus petugas yang melakukan pemeriksaan, kemudian jenis temuannya ya paling terakhir temuannya kemudian tanda tangan pelanggan saksi dan petugas Pak contohnya ini memperbesar pembatas nih Mas, masuk pelanggaran kategori, pelanggaran mana itu Mas? kalau pembesaran daya itu maaf saya agak lupa P1
pernah baca di
028 P2 maaf saya agak lupa kalau di admin itu itu menerima berita acara ya hasil pemeriksaan dari teman-teman di lapangan kemudian menyimpan dokumen hasil pemeriksaan kemudian melakukan pemeriksaan barang bukti yang dibawa oleh teman-teman kemudian menyiapkan apa namanya ini dokumen kemudian melakukan penetapan di AP2T sesuai dengan jurnis pelanggaran maksudnya surat panggilan Pak surat panggilan itu mas membuat dari berita acara dari saya Pak kalau pelanggannya tidak datang setelah kamu buat itu pelanggan yang panggilan kedua atau panggilan pertama panggilan pertama itu bukan dari berita acara
berita acara kan petugas lapangan membuat Pak teman-teman di lapangan
bila panggilan pertama tidak datang terus gimana
dibuatkan panggilan kedua
berapa hari jaraknya
tiga hari
panggilan kedua tidak datang
dibuat panggilan ketiga
lima hari kalau panggilan ketiga nggak datang selanjutnya apa panggilan ketiga nggak datang selanjutnya apa saya belum baca nggak paham juga nah terus kamu menetapkan itu dasarnya apa dari berita acara ya iya, berita acara
kalau pelanggan itu nggak datang, 1, 2, 3 nggak datang, terus selanjutnya apa kalau pelanggan yang tidak datang, kita buatkan penetapan sepiak kan ada satu nanya, panggilan ketiga tidak datang itu apa selanjutnya apa, nggak tahu ",0,lengkap foto belum kancing 028 028 2023 2023 juni juni 2023 situ isi data langgan data langgan huni tarif daya alamat tugas periksa jenis temu temu tanda tangan langgan saksi tugas contoh besar batas masuk langgar kategori langgar besar daya maaf lupa p1 baca 028 p2 maaf lupa admin terima berita acara hasil periksa temanteman lapang simpan dokumen hasil periksa periksa barang bukti bawa temanteman nama dokumen tetap ap2t sesuai jurnis langgar maksud surat panggil surat panggil berita acara langgan tidak langgan panggil panggil panggil berita acara berita acara tugas lapang temanteman lapang panggil tidak buat panggil jarak panggil tidak panggil tiga panggil tiga tidak panggil tiga tidak belum baca tidak paham tetap dasar berita acara berita acara langgan tidak 1 2 3 tidak langgan tidak buat tetap piak panggil tiga tidak tidak
2,"izin Pak, untuk sekarang saya di bagian pelayanan pelanggan Pak untuk surat tidak ada sih Pak kalau untuk sekarang untuk penetapan untuk kami disini seluruhnya sudah di bagian transaksi energi Pak P2TL pernah Pak, pernah ikut untuk bulan Maret kemarin Pak ini kebetulan saya ada surat tugasnya enggak ada untuk surat tugas
mungkin saya sudah foto karena untuk penetapan sekarang semua sudah murni dari transaksi energi Pak jadi kami mungkin bagian pelayanan pelanggan itu hanya melobby saja ke pelanggan, mungkin ada pelanggan yang komplain, itu kami ke sana untuk bantu media menetapkan ya, halo siap, baik Pak, halo halo Pak tidak hadir pertama kali panggilan, selanjutnya apa? untuk kita kirimkan surat panggilan Pak, ya ya
pertama enggak datang, terus selanjutnya?
terus kita teruskan lagi untuk surat panggilan kedua
pertama dan kedua itu jaraknya berapa hari?
untuk jaraknya satu minggu Pak saya masih mengikuti yang perdir 88 untuk perdir baru saya belum dapat sih Pak terus panggilan kedua enggak datang terus selanjutnya apa?
masuk panggilan ketiga Pak
berapa hari jadwal waktunya?
itu satu minggu juga Pak untuk perdir saya belum dapat sih Pak untuk surat BA nya itu kita lihat untuk untuk nomor surat, tanggal, terus nama, nama pelanggan nama petugas, beserta dengan jabatan Pak nama dan alamat pelanggan di pelanggan dan tersambung peruntukan apa Pak selanjutnya ada data dan barang bukti yang diambil itu diisi semua untuk meter KWH nya, terus tim P2TL mulai dari ketua petugas, penyidik dan saksi Pak untuk selanjutnya Pemeriksaan APP untuk Pemeriksaan APP nya itu ada data KWH, merek tahun, putaran, segel terpasang terus Pembatas kotak APP, dan terakhir kesimpulan dan hasil Pemeriksaan Pak dan tindakan yang dilakukan demikian Pak itu mas untuk segel rusak itu masuk di pelanggaran P2 Pak misalnya rusaknya di rusak sengaja jadi belum untuk P2 udah tau mas P2TL P2TL terakhir Pak saya masih mengikuti yang 2023 tadi saya belum tau sih Pak",0,izin layan langgan surat tidak tetap transaksi energi p2tl maret kemarin surat tugas enggak surat tugas foto tetap murni transaksi energi layan langgan melobby langgan langgan komplain bantu media tetap halo halo halo tidak hadir kali panggil kirim surat panggil enggak terus surat panggil jarak jarak minggu ikut perdir 88 perdir belum panggil enggak masuk panggil tiga jadwal minggu perdir belum surat ba lihat nomor surat tanggal nama nama langgan nama tugas serta jabat nama alamat langgan langgan sambung untuk data barang bukti ambil isi meter kwh tim p2tl ketua tugas sidik saksi periksa app periksa app data kwh merek putar segel pasang batas kotak app simpul hasil periksa tindak segel rusak masuk langgar p2 rusak rusak sengaja belum p2 tau p2tl p2tl ikut 2023 belum tau
3,"iya administrasi Pak tapi posisinya sudah tidak menangani P2TL tetap saya join saja Pak siapa tau kan kita kan balance-nya dinamis Pak ya nggak tau tiba-tiba saya mutasi lagi saya upload Pak di 2023 sebelum saya pindah ke sales retail Pak nanti saya coba izin cari-cari dulu Pak ya iya betul betul Pak diperpanjang administrasinya Pak perdir sekarang yang terakhir Pak ya 028 ya perdir 028 betul ya Pak iya insya Allah sudah Pak saya pernah terakhir sebelum saya pindah pindah bidang saya masih sempat baca Pak masih pakai Pak kan 2023 kalau nggak salah Pak perdirnya Pak betul Pak ada surat panggilan Pak kalau peringatan 1 yang biasa saya terbitkan sih Pak 5 hari Pak jangka waktunya Pak peringatan 1 saya terbitkan nggak datang misalkan pelanggannya Pak saya terbitkan lagi peringatan 2
peringatan 2 nggak datang Pak
saya bongkar Pak biasanya gitu
jadi nggak ada peringatan 3 lagi nggak ada ya peringatan 3 saya bongkar aja biasanya peringatan 2 sama peringatan 3
waktunya habis 5 hari
jangka waktunya saya langsung minta petugas untuk bongkar peringatan 2 kalau 028 itu namanya barang bukti atau apa kalau setau saya Pak dokumen hasil pemeriksaan
ya barang hasil
pemeriksaan itu namanya Pak ",1,administrasi posisi tidak tangan p2tl join tau balancenya dinamis tidak tau tibatiba mutasi upload 2023 pindah sales retail coba izin caricari panjang administrasi perdir 028 perdir 028 insya allah pindah pindah bidang baca pakai 2023 tidak salah perdirnya surat panggil ingat 1 terbit 5 jangka ingat 1 terbit tidak langgan terbit ingat 2 ingat 2 tidak bongkar tidak ingat 3 tidak ingat 3 bongkar ingat 2 ingat 3 habis 5 jangka langsung tugas bongkar ingat 2 028 nama barang bukti tau dokumen hasil periksa barang hasil periksa nama
4,"ini level 2 kalau nggak salah Pak petugas lapangan Pak dokumen yang krusial dan wajib itu yang wajib yang pertama
surat tugas Pak ya terus yang kedua itu WPJSA Pak izin kerja terus yang paling penting
kalau kita masuk ke ranah hukum
masuk ke ranah hukum
itu harus sertifikasi Pak mungkin Pak mesti pulang Pak itu maksudnya dokumen P2TL
itu apa saja tadi surat tugas JSA izin kerja
apa lagi
berita acara Pak berita acara kalau nggak ada berita acara
kamu bisa nggak P2TL ya nggak bisa Pak paling penting ya
surat tugas masih bisa diakali berita acara pulang kamu bila mana pelanggan berbanding P2TL itu formulir berita acara itu isi lengkapnya apa saja isi lengkapnya yang pertama itu ada label terus nama pelanggan KTP pelanggannya
terus pelanggan harus menandatangani
terus terus hasil temuan
juga harus ditulis sesuai dengan temuan terus
data data spesifikasi meter Pak data perkenalkan meter oke cukup Mas terus dulu kan penyerahan penyerahan berkas barang hasil pemeriksaan
barang hasil pemeriksaan berikutnya perdir nomor 028 yang baru ini Pak terus kalau ada APP rusak karena alam bukan karena manusia itu kategori apa kalau karena alam itu kategorinya
P1 Pak oh P1 rusak karena alam bukan karena manusia loh oh Kak kelainan Pak nah kelainan ya nah kelainan nomor berapa
kalau kelainan itu yang lama banget itu Pak kalau bongkar lampu apa nih Mas nanti pelanggan bagaimana nih bongkar lampu apa aja
pertama kan untuk biasanya app nya sudah kita amankan dulu karena kalau P2TL
kan tidak menyalak di lokasi kecuali pelayanan
kalau pelanggaran sudah kita amankan dahulu peralatan
alat ukurnya
nanti kalau ternyata dia tetap sampai maksa bongkar lampungnya dimasuk maka dilanjutkan secara administrasinya Pak kalau untuk surat tagihan dari pelayanan pelanggan dari pelayanan pelanggan ya
kalau mau pasang kembali gimana ini Mas
pasang harus bayar dulu Pak tagihan susulan yang sebelumnya sudah ditetapkan oke ",1,level 2 tidak salah tugas lapang dokumen krusial wajib wajib surat tugas wpjsa izin kerja masuk ranah hukum masuk ranah hukum sertifikasi mesti pulang maksud dokumen p2tl surat tugas jsa izin kerja berita acara berita acara tidak berita acara tidak p2tl tidak surat tugas akal berita acara pulang langgan banding p2tl formulir berita acara isi lengkap isi lengkap label nama langgan ktp langgan langgan menandatangani hasil temu tulis sesuai temu data data spesifikasi meter data kenal meter oke serah serah berkas barang hasil periksa barang hasil periksa perdir nomor 028 app rusak alam manusia kategori alam kategori p1 p1 rusak alam manusia kak lain lain lain nomor lain banget bongkar lampu langgan bongkar lampu app aman p2tl tidak salak lokasi kecuali layan langgar aman alat alat ukur maksa bongkar lampung masuk lanjut administrasi surat tagih layan langgan layan langgan pasang pasang bayar tagih susul tetap oke
5,"ini pelaksana utama Mbak ya pelaksana di sehari-hari dimana Mbak sehari-hari sebagai pelaksana utama
sehari-hari ini kita sebagai koordinator koordinator tim sama membackup
untuk frontliner untuk pelanggan yang mau menyelesaikan TS P2TL juga di lapangan Mbak ya di lapangan
di kantor iya Pak SKD 028 Pak kalau panggilan pertama itu sudah termasuk yang berita acara Pak ya surat peringatan satu, tiga surat peringatan dua, lima surat peringatan ada dua Pak peringatan satu, peringatan dua bongkarampung itu kita gulung kabelnya sampai tiang Pak ada surat tugasnya nggak Mbak ada Pak surat tugasnya
yang pertama sebelum kita pelaksanaan kita
perlaksanaan dulu Pak ya
kita biasa kalau ditempatkan itu tiap pagi briefing dulu briefing dengan tim kita tanya surat tugasnya nanti kelainan K1 Pak ya K1 itu dimana kalau kelainan itu ada juga kalau segel dia P2 Pak kita periksa tanggalnya Pak ya terus tim siapa yang
pelaksanaan siapa koordinernya, tandatangan polisinya, data lengkap pelanggan yang kita datangi, yang kena P2TL terus kelainannya apa, pelanggarannya apa Pak sama isi yang jadi BB-nya apa MCB, KWH apa kabel berapa meter yang dipotong harus komplit Pak, harus komplit harus benar, tidak ada coretan tagihan susulan itu harusnya itu sih Pak, kita kalau sudah BA sudah datang di administrasi itu langsung kita buat ke Mbak ya ke admin tapi untuk di kami ini kalau pelanggannya sudah datang ke kantor baru kami buat Pak tagihan susulan ya betul, iya kalau
di ULP-nya kayak gitu pelanggan datang mau menyelesaikan baru kita buat tagihan susulannya, tagihan susulan itu disertakan pada waktu surat peringatan isinya apa Mbak surat peringatan pertama Mbak, surat peringatan
pertama mengatakan kalau sudah dilaksanakan surat panggilan 2, 3 dan
mohon untuk penyelesaian tagihan susulan P2TL tapi nggak dikasih tau Pak, itu jumlah uangnya Pak peringatan pertama kan
peringatan pertama untuk menyelesaikan tagihan susulan akibat pelagaran
pada ID perumah sekian-sekian mohon untuk datang ke kantor apabila dalam waktu 5 hari tidak datang ke kantor, maka akan dikirimkan surat panggilan kedua dan pengkarampung, surat peringatan kedua dan pengkarampung kapan itu dipasang kembali Mbak kalau si pelanggan itu bisa menikmati listrik lagi Mbak
apabila sudah menyelesaikan tagihan susulan, langsung dipasang hari itu juga Pak ",1,laksana utama mbak laksana seharihari mana mbak seharihari laksana utama seharihari koordinator koordinator tim membackup frontliner langgan selesai ts p2tl lapang mbak lapang kantor skd 028 panggil berita acara surat ingat surat ingat surat ingat ingat ingat bongkarampung gulung kabel tiang surat tugas tidak mbak surat tugas laksana laksana tempat pagi briefing briefing tim surat tugas lain k1 k1 mana lain segel p2 periksa tanggal tim laksana koordinernya tandatangan polisi data lengkap langgan datang kena p2tl lain langgar isi bbnya mcb kwh kabel meter potong komplit komplit tidak coret tagih susul ba administrasi langsung mbak admin langgan kantor tagih susul ulpnya langgan selesai tagih susul tagih susul serta surat ingat isi mbak surat ingat mbak surat ingat laksana surat panggil 2 3 mohon selesai tagih susul p2tl tidak kasih tau uang ingat ingat selesai tagih susul akibat pelagaran id rumah sekiansekian mohon kantor 5 tidak kantor kirim surat panggil pengkarampung surat ingat pengkarampung pasang mbak langgan nikmat listrik mbak selesai tagih susul langsung pasang
6,"mohon izin Pak yang terbaru peraturan direksi nomor 28 tahun 2023 kalau tidak salah Pak mohon maaf Pak, ini betul Pak nomor 28 tahun 2023 tanggal 5 September Pak oke Pak Ronald untuk surat panggilan surat panggilan 1 itu jaraknya berapa Pak? panggilan kedua
30 hari Pak belum baca semua Pak panjang banget panggilan 1 panggilan kedua mungkin nanti saya coba belum tau Pak untuk jarak panggilan 1, panggilan kedua
mohon izin, mohon maaf saya belum tau Pak tapi biasanya kalau, bukan biasanya, saya kalau ada apa namanya kegiatan P2TL begitu Pak, saya lebih banyak membaca langsung ke apa namanya peraturan direksinya karena kalau saya hafal nanti Pak saya takut lupa pembongkaran pembongkaran langsung panggilan 3
panggilan 3 itu pembongkaran langsung pemutusan sementara
pemutusan sementara
sudah waktu panggilan 1 sudah putus pembongkaran Rampung itu setelah pelanggan
tidak membayar tagihannya ada surat apa itu sebelumnya?
ada surat panggilan panggilan pertama kedua dan ketiga
ada lagi nggak? panggilan tiga langsung pembongkaran Rampung itu
mohon izin saya lupa Pak baca ya perdirinya ya siap Pak kalau ada nih segelnya segelnya dirusak mas ya bukan karena alam, termasuk pelanggaran berapa itu mas?
mohon izin Bapak segel ABP atau segel MCB Bapak MCB contohnya masuk pelanggaran satu
eh pelanggaran dua kalau karena korosi mana mas? kalau segel karena korosi itu
termasuk pelanggaran nggak? bukan Bapak gangguan Bapak mungkin lebih ke arah pemeliharaan karena bukan disebabkan oleh
pelanggan Bapak surat tugas pernah ada surat tugasnya nggak mas pada waktu P2L itu mas?
ada Bapak ada surat tugasdi berita acara nomor berita acara Bapak sama tanggal pemeriksaan terus juga data pelaksana pelaksana P2TL terus juga data pelanggannya dan juga data mendamping Bapak atau pihak yang berwenang yang mendampingi terus juga hasil temuan hasil pemeriksaan dan juga tanda tangan dari tim P2TL nya kemudian pelanggan maupun saksi-saksi",1,mohon izin baru atur direksi nomor 28 2023 tidak salah mohon maaf nomor 28 2023 tanggal 5 september oke ronald surat panggil surat panggil 1 jarak panggil 30 belum baca banget panggil 1 panggil coba belum tau jarak panggil 1 panggil mohon izin mohon maaf belum tau nama giat p2tl baca langsung nama atur direksi hafal takut lupa bongkar bongkar langsung panggil 3 panggil 3 bongkar langsung putus putus panggil 1 putus bongkar rampung langgan tidak bayar tagih surat surat panggil panggil tiga tidak panggil langsung bongkar rampung mohon izin lupa baca diri segel segel rusak alam langgar mohon izin segel abp segel mcb mcb contoh masuk langgar langgar korosi segel korosi langgar tidak ganggu arah pelihara sebab langgan surat tugas surat tugas tidak p2l surat tugasdi berita acara nomor berita acara tanggal periksa data laksana laksana p2tl data langgan data damping wenang damping hasil temu hasil periksa tanda tangan tim p2tl langgan saksisaksi
7,"terbaru 028 Pak tahun 2023 belum semuanya panggilan 1 itu setelah dilakukan pembukaan oh gitu Pak 3 hari Pak 3 hari ya oke 2 hari sampai panggilan keberapa nih panggilan 3 Pak tidak ada resonani konsumen secara sepia melakukan pengetapan panggilan ketagihan susulan disertakan di surat apa di surat apa itu kan panggilan 1 2 3 kan belum ada
itu TS nya baru TS nya itu di selanjutnya iya Pak itu di
setelah panggilan 3 itu dilakukan perhitungan ini secara sepia
dibikin surat lagi enggak itu ini Pak pembuatan ini saja Pak ada surat peringatan enggak untuk sejauh ini belum
sampai disitu Pak prosesnya biasanya sampai panggilan 2 itu yang pertama ada data pemeriksa itu teman-teman petugas ada mungkin ada petugas pendamping dari aparat data pelanggan itu ada
data pemeriksaan KW meter terus yang berikut
kesimpulan hasil pemeriksaan itu juga ada Pak ditemukan setelah pemeriksaan RTB kesimpulan hasil temuannya seperti apa itu ditulis kesimpulan pemeriksaan terus yang berikut ada pendamping
dari teman-teman petugas setelah dianalisa hasilnya seperti apa pendampingan dilakukan diisi seperti apa apakah mungkin langsung pungkar rambut atau pemutusan sementara seperti apa mungkin langsung diisi di situ terus yang berikut proses penyelesaiannya itu biasanya teman-teman di situ mengarahkan petugas ke atas kantor LN dan yang terakhir termasuk pelanggaran berapa itu Mas kalau pembatasan P1 ABP rusak karena alam itu tidak dikategorikan dalam kategori pelanggaran karena memang penyebabnya penyebabnya itu bukan disengaja oleh
pelanggaran itu mesti ada pemeriksaan juga sih Pak sehingga teman-teman di lapangan bisa diagnosa itu apakah memang dia alam atau memang disengaja oleh pelanggaran
termasuk kelainan ya?
betul Pak
itu ada di berbeda berapa tuh kelainan itu?
163 Pak oke",1,baru 028 2023 belum panggil 1 buka 3 3 oke 2 panggil berapa panggil 3 tidak resonan konsumen sepia ketap panggil tagih susul serta surat surat panggil 1 2 3 belum ts ts panggil 3 hitung sepia bikin surat enggak buat surat ingat enggak belum situ proses panggil 2 data periksa temanteman tugas tugas damping aparat data langgan data periksa kau meter simpul hasil periksa temu periksa rtb simpul hasil temu tulis simpul periksa damping temanteman tugas dianalisa hasil damping isi langsung pungkar rambut putus langsung isi situ proses selesai temanteman situ arah tugas kantor langgar batas p1 abp rusak alam tidak kategori kategori langgar sebab sebab sengaja langgar mesti periksa temanteman lapang diagnosa alam sengaja langgar lain beda tuh lain 163 oke
8,"Berita acara pemeriksaan, kemudian identitas pelanggan juga berupa KTP begitu.
Setelah itu apa lagi? BAPP, kemudian... Apa aja yang pernah dilihat di BAPP?
Di BAPP-nya? Atau dokumennya?
Dokumen-dokumennya apa aja di BAPP-nya?
Di BAPP-nya ada keterangan mengenai jenis, pertama tentang identitas APP-nya, nomor KWH meter, merek, tipe, kemudian dari alat pembatasnya MCB-nya, kemudian kabelnya, kemudian secara teknisnya, mungkin ada CTPT-nya juga, kemudian sebelum itu ada identitas pelanggan dari nama, alamat, kemudian ID KTP, kemudian nomor identitas, setelah itu tanggal berapa diperiksa, di mana diperiksa, kemudian nomor BAPP-nya, kemudian tadi baru yang data teknisnya mengenai APP, pembatasnya, kemudian di dalam berita acara juga ada pihak pertama, pihak pemeriksanya, kemudian pelanggan, tadi data pelanggan, kemudian kalau yang di bawah itu ada data pemeriksa, kemudian jika ada yang mendampingi dari mana juga disertakan di situ, kemudian pengisian data pemeriksaan itu ada semacam tabelnya begitu Pak, apakah ada penggantian APP atau mungkin di situ pengecekan segel masih terpasang atau tidak, kemudian pembatasnya dalam kondisi bagaimana, kemudian segelnya masih aman atau tidak, kemudian baru kesimpulan apakah ada temuan atau indikasi pelanggaran atau tidak, kemudian bagaimana hasil pemeriksaan apakah masuk dalam jenis golongan pelanggaran yang mana. Jangka waktunya selama 30 hari Pak. Ada di Kepdir 028 Pak. 2023. Setelah panggilan tiga enggak dilaksanakan, apa yang dilakukan lagi Mas? Ditetapkan secara sepihak jika pelanggan memang tidak dapat mengindahkan panggilan ketiga. Jadi ditetapkan tagian susulannya secara sepihak. Kemudian ada tindak lanjut di antaranya mungkin bisa dilakukan pemutusan sementara atau bongkar rampung. Oh iya, mohon maaf. Pemanggilan ketiganya bongkar rampung. Sebentar, surat pemanggilan ketiga kan ditetapkan secara sepihak. Karena kasusnya jarang juga sampai pemanggilan ketiga jadi jarang ini. Jadi, oh iya ada surat peringatan juga Pak. Ada surat peringatan. Yang pertama kan menerima dokumen tadi dari petugas pelaksana lapangan.
Kemudian menerima barang buktinya juga apabila ada ABP atau yang lain yang berkaitan. Iya, kalau dari lapangan ditemukan barang bukti. Oh iya, iya Pak. Tapi saya belum terkopi ya apa nama istilah lainnya. Apa ya? Mungkin masih dalam ini tadi apa namanya? Fisik, fisik apa ya? Fisik KWH meter begitu kali Pak ya. ",1,berita acara periksa identitas langgan ktp bapp bapp bappnya dokumen dokumendokumennya bappnya bappnya terang jenis identitas appnya nomor kwh meter merek tipe alat batas mcbnya kabel teknis ctptnya identitas langgan nama alamat id ktp nomor identitas tanggal periksa periksa nomor bappnya data teknis app batas berita acara periksa langgan data langgan data periksa damping serta situ isi data periksa tabel ganti app situ kece segel pasang tidak batas kondisi segel aman tidak simpul temu indikasi langgar tidak hasil periksa masuk jenis golong langgar jangka 30 kepdir 028 2023 panggil enggak laksana tetap langgan tidak indah panggil tiga tetap tagian susul tindak putus bongkar rampung mohon maaf panggil tiga bongkar rampung sebentar surat panggil tiga tetap kasus jarang panggil tiga jarang surat ingat surat ingat terima dokumen tugas laksana lapang terima barang bukti abp kait lapang temu barang bukti belum kopi nama istilah nama fisik fisik fisik kwh meter kali
9,"Yang 028 Pak. Yang tahun 2023 Pak Udah Pak. Ini Pak, sekalian disclaimer. Sebelumnya, kemarin saya juga dengan Pak Mardiono, itu Pak sertifikasi level 4. Iya, benar Pak. Mana Pak mungkin karena datanya tidak ada, tidak tahu bagaimana, muncul lagi yang untuk ini. Ya sudah, saya ikut juga Pak. Berita acara pemeriksaan P2L. Itu ada disebutkan, terkait temuan dalam apa yang utama, terus kelengkapan data KWH meter seperti ID-PEL, namanya, nama pemilik, terus lapangan. Dan yang paling penting yang terakhir itu ada tanda tangan berita acara pemeriksaan, pelaksana, maupun pelanggan atau perwakilan pelanggan. Boleh, boleh Pak. Kita tambah nanti Pak ya. Berkait pelaksanaan ya, hasil pengurusan nasional sesuai, pengukuran, kelengkapan berita acara, surat tugas, sama yang paling penting SOP Pak. SOP, SOP K3-nya, SOP di lapangan pada saat petugas atau pelaksana melaksanakan P2TL. Mas untuk surat panggilan, surat panggilan 1, 2 itu jaraknya berapa itu Mas? Berapa hari?
Tiga hari Pak.
Tiga hari, sampai surat panggilan keberapa itu Mas?
Panggilan 1, 2, 3 sampai terakhir di peringatan 2.
Peringatan 2, surat panggilan 2 apa itu?
Bongkar rampung. Bongkar rampung. Kalau yang sekarang karena sudah pakai aplikasi EPM malah kayaknya lebih ini Pak, lebih simple ya. Kalau yang sebelumnya, aplikasi sebelumnya kan harus diceta, habis itu di-upvote lagi. Kalau sekarang, begitu kita ceta, langsung order ke pelaksanaan dari petugas P2TL. Boleh diwakilkan oleh tetangga untuk sebagai sebagai yang wakili. Wakilkan sama tetangga atau perangkat desa, baik itu RT, RW, atau kepala desa. Jadi, jika memang itu juga tidak ada, kita jangan maju dulu Pak, karena SOP kita masih kurang. Masuk ke Persil ya pelanggan. Ada Pak, dari pihak kepolisian. sama yang pengawas pekerjaan. Ada lagi, satu lagi, selain desa, kalau kepolosian nggak bisa, ada nggak? Boleh nggak yang lain? Ini yang maksudnya Pak,
yang PPNS. Ya, PPNS.",1,028 2023 disclaimer kemarin mardiono sertifikasi level 4 data tidak tidak muncul berita acara periksa p2l kait temu utama lengkap data kwh meter idpel nama nama milik lapang tanda tangan berita acara periksa laksana langgan wakil langgan kait laksana hasil urus nasional sesuai ukur lengkap berita acara surat tugas sop sop sop k3nya sop lapang tugas laksana laksana p2tl surat panggil surat panggil 1 2 jarak surat panggil berapa panggil 1 2 3 ingat 2 ingat 2 surat panggil 2 bongkar rampung bongkar rampung pakai aplikasi epm kayak simpel aplikasi diceta habis diupvote ceta langsung order laksana tugas p2tl wakil tetangga wakil wakil tetangga perangkat desa rt rw kepala desa tidak maju sop masuk persil langgan polisi awas kerja desa kepolosian tidak tidak tidak maksud ppns ppns
